host_response_time,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights_avg_ntm,maximum_nights_avg_ntm,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,reviews_per_month,district,neighbourhood,has_wifi,has_essentials,has_kitchen,has_heating,has_washer,has_hangers,has_tv,has_hair_dryer,has_iron,has_shampoo,has_laptop_friendly_workspace,has_air_conditioning,has_hot_water,has_elevator,has_refrigerator,has_dishes_and_silverware,has_microwave,has_bed_linens,has_no_stairs_or_steps_to_enter,has_coffee_maker,has_cooking_basics,has_family/kid_friendly,has_long_term_stays_allowed,has_first_aid_kit,has_oven,has_stove,has_license,activity_months,income_med_occupation,price_med_occupation_per_accommodate
within a few hours,37.39772,-5.9909,Apartment,Entire home/apt,6,2.0,2,126.0,180.0,27.0,4,18.0,3.0,30.0,91,11,2012-07-03,2019-09-09,94.0,10.0,10.0,10.0,10.0,10.0,10.0,1,strict_14_with_grace_period,1.03,Casco Antiguo,FERIA,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,86.21121583605412,405.0,135.0
within an hour,37.38916,-6.000430000000001,Loft,Entire home/apt,4,1.0,1,81.0,135.0,27.0,2,9.0,1.4,365.0,93,18,2012-09-08,2019-09-22,88.0,9.0,9.0,10.0,10.0,10.0,9.0,0,strict_14_with_grace_period,1.08,Casco Antiguo,MUSEO,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,84.43705209552557,270.0,135.0
within a few hours,37.39114,-5.99127,Apartment,Entire home/apt,2,1.0,1,63.0,81.0,31.5,2,9.0,2.0,60.0,120,19,2012-06-29,2019-08-22,95.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict_14_with_grace_period,1.36,Casco Antiguo,ALFALFA,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,85.75124745888006,220.5,220.5
within an hour,37.38812,-5.9922699999999995,Apartment,Entire home/apt,7,2.0,3,166.5,90.0,36.0,1,0.0,3.0,365.0,183,28,2012-07-02,2019-08-21,92.0,10.0,10.0,9.0,10.0,10.0,9.0,1,strict_14_with_grace_period,2.07,Casco Antiguo,SANTA CRUZ,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,85.61982792254462,535.5,133.88
within an hour,37.39877,-5.98945,Apartment,Private room,2,1.0,1,23.4,0.0,0.0,2,9.0,1.0,365.0,661,99,2012-07-06,2019-09-25,89.0,9.0,9.0,9.0,9.0,9.0,9.0,1,strict_14_with_grace_period,7.5,Casco Antiguo,FERIA,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,86.63832932914434,70.2,70.2
-unk-,37.37811,-5.99852,House,Private room,2,2.0,1,25.2,0.0,0.0,2,0.0,1.0,7.0,338,48,2012-06-26,2019-05-10,88.0,9.0,9.0,9.0,9.0,10.0,9.0,1,moderate,3.82,Los Remedios,LOS REMEDIOS,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,82.43290416640998,75.6,75.6
-unk-,37.37805,-5.9981599999999995,House,Private room,2,2.0,1,25.2,0.0,0.0,1,0.0,1.0,7.0,372,49,2012-08-08,2019-05-14,86.0,9.0,8.0,10.0,9.0,10.0,9.0,1,moderate,4.28,Los Remedios,LOS REMEDIOS,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,81.15156368713937,75.6,75.6
within an hour,37.38335,-6.00544,Condominium,Entire home/apt,4,1.0,1,58.5,0.0,31.5,2,22.5,2.0,1125.0,52,7,2012-08-27,2019-06-17,96.0,9.0,10.0,10.0,10.0,10.0,10.0,1,strict_14_with_grace_period,0.6,Triana,TRIANA ESTE,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,81.6443869483973,207.0,103.5
within an hour,37.38919,-5.9889,Apartment,Entire home/apt,4,1.0,1,81.0,135.0,22.5,2,9.0,3.0,30.0,220,38,2012-07-02,2019-09-24,92.0,10.0,9.0,10.0,10.0,10.0,9.0,0,strict_14_with_grace_period,2.49,Casco Antiguo,SAN BARTOLOME,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,86.73689398139592,265.5,132.75
within an hour,37.387879999999996,-5.996090000000001,Apartment,Entire home/apt,8,2.0,3,121.5,0.0,0.0,6,9.0,2.0,30.0,262,40,2013-03-25,2019-09-13,87.0,9.0,9.0,9.0,9.0,10.0,9.0,1,moderate,3.3,Casco Antiguo,ARENAL,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,77.63609109016612,364.5,91.12
