host_response_time,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights_avg_ntm,maximum_nights_avg_ntm,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,reviews_per_month,district,neighbourhood,has_wifi,has_essentials,has_kitchen,has_heating,has_washer,has_hangers,has_tv,has_hair_dryer,has_iron,has_shampoo,has_laptop_friendly_workspace,has_air_conditioning,has_hot_water,has_elevator,has_refrigerator,has_dishes_and_silverware,has_microwave,has_bed_linens,has_no_stairs_or_steps_to_enter,has_coffee_maker,has_cooking_basics,has_family/kid_friendly,has_long_term_stays_allowed,has_first_aid_kit,has_oven,has_stove,has_license,activity_months,income_med_occupation,price_med_occupation_per_accommodate
within an hour,40.41493,-3.70105,Apartment,Entire home/apt,4,1.0,1.0,62.1,90.0,0.0,2,9.0,3.0,330.0,82,25,2012-10-31,2019-07-29,90.0,9.0,9.0,9.0,10.0,10.0,9.0,1,strict_14_with_grace_period,0.98,Centro,Cortes,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,80.88872461446847,229.77,114.89
within a few hours,40.45386,-3.6474300000000004,Chalet,Private room,2,1.5,1.0,40.5,0.0,0.0,1,27.0,1.0,5.0,17,2,2012-07-11,2019-09-15,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible,0.19,Hortaleza,Piovera,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.1455060678864,149.85,149.85
within a few hours,40.41515,-3.7000300000000004,Apartment,Private room,2,1.0,2.0,22.5,0.0,18.0,1,18.0,2.0,730.0,63,2,2011-08-16,2019-06-09,81.0,8.0,7.0,9.0,9.0,10.0,8.0,0,moderate,0.64,Centro,Cortes,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,93.76783917534242,101.25,101.25
-unk-,40.42481,-3.7037400000000003,Apartment,Entire home/apt,4,1.0,2.0,81.0,180.0,22.5,3,18.0,10.7,30.0,190,3,2011-10-28,2018-12-09,90.0,9.0,9.0,10.0,10.0,10.0,9.0,0,strict_14_with_grace_period,1.98,Centro,Universidad,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,85.38984373395758,322.2,161.1
within a few hours,40.41607,-3.71101,Apartment,Entire home/apt,3,1.0,2.0,135.0,270.0,27.0,3,36.0,3.0,30.0,4,0,2011-10-06,2011-12-30,95.0,10.0,10.0,10.0,10.0,10.0,9.0,0,flexible,0.04,Centro,Palacio,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,2.792665147128278,526.5,263.25
within an hour,40.42623,-3.70462,Apartment,Private room,3,1.0,1.0,17.1,0.0,9.0,1,9.0,2.0,1460.0,93,0,2011-12-23,2017-12-10,85.0,9.0,9.0,10.0,10.0,10.0,9.0,0,strict_14_with_grace_period,0.99,Centro,Universidad,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,71.5907924187355,105.57,52.78
within a few hours,40.423390000000005,-3.69475,Apartment,Private room,2,2.0,1.0,27.0,135.0,0.0,1,13.5,1.0,730.0,12,0,2013-11-16,2016-05-29,83.0,9.0,8.0,9.0,10.0,9.0,8.0,0,strict_14_with_grace_period,0.17,Centro,Justicia,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30.390767777572435,99.9,99.9
within a few hours,40.42259,-3.69394,Apartment,Private room,2,1.0,1.0,27.0,135.0,22.5,1,18.0,1.0,365.0,40,0,2012-02-28,2016-09-24,89.0,9.0,9.0,9.0,9.0,10.0,9.0,0,strict_14_with_grace_period,0.43,Centro,Justicia,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,54.86765642004969,122.4,122.4
within an hour,40.41516,-3.7073099999999997,Loft,Entire home/apt,3,1.0,1.0,63.0,90.0,36.0,2,13.5,2.8,1000.0,210,38,2011-10-02,2019-09-02,91.0,9.0,9.0,10.0,9.0,10.0,9.0,1,strict_14_with_grace_period,2.16,Centro,Sol,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,95.01632477052917,269.1,134.55
within a few hours,40.41088,-3.71098,Apartment,Entire home/apt,4,1.0,1.0,69.3,180.0,45.0,2,13.5,3.0,730.0,253,55,2011-09-05,2019-09-15,95.0,9.0,9.0,10.0,10.0,10.0,9.0,0,strict_14_with_grace_period,2.58,Centro,Palacio,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,96.33052013388365,301.41,150.71
